customerID,Churn,InternetService,SeniorCitizen,MonthlyCharges,Cuentas_Diarias,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Charges
0017-DINOC,No,DSL,0,,,Male,0,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),"{'Monthly': 45.2, 'Total': '2460.55'}"
0017-IUDMW,No,Fiber optic,0,,,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),"{'Monthly': 116.8, 'Total': '8456.75'}"
0018-NYROU,No,Fiber optic,0,,,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,"{'Monthly': 68.95, 'Total': '351.5'}"
0019-EFAEP,No,Fiber optic,0,,,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),"{'Monthly': 101.3, 'Total': '7261.25'}"
0019-GFNTW,No,DSL,0,,,Female,0,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),"{'Monthly': 45.05, 'Total': '2560.1'}"
0020-INWCK,No,Fiber optic,0,,,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),"{'Monthly': 95.75, 'Total': '6849.4'}"
0020-JDNXP,No,DSL,0,,,Female,0,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Mailed check,"{'Monthly': 61.25, 'Total': '1993.2'}"
0021-IKXGC,No,Fiber optic,1,,,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,"{'Monthly': 72.1, 'Total': '72.1'}"
0022-TCJCI,Yes,DSL,1,,,Male,1,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),"{'Monthly': 62.7, 'Total': '2791.5'}"
0023-HGHWL,Yes,DSL,1,,,Male,1,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,"{'Monthly': 25.1, 'Total': '25.1'}"
0023-UYUPN,No,No,1,,,Female,1,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,"{'Monthly': 25.2, 'Total': '1306.3'}"
0023-XUOPT,Yes,Fiber optic,0,,,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,"{'Monthly': 94.1, 'Total': '1215.6'}"
0027-KWYKW,No,Fiber optic,0,,,Female,0,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,"{'Monthly': 83.75, 'Total': '1849.95'}"
0030-FNXPP,No,No,0,,,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,"{'Monthly': 19.85, 'Total': '57.2'}"
0031-PVLZI,Yes,No,0,,,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,"{'Monthly': 20.35, 'Total': '76.35'}"
0032-PGELS,Yes,DSL,0,,,Female,0,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),"{'Monthly': 30.5, 'Total': '30.5'}"
0036-IHMOT,No,Fiber optic,0,,,Female,0,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),"{'Monthly': 103.7, 'Total': '5656.75'}"
0040-HALCW,No,No,0,,,Male,0,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),"{'Monthly': 20.4, 'Total': '1090.6'}"
0042-JVWOJ,No,No,0,,,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),"{'Monthly': 19.6, 'Total': '471.85'}"
0042-RLHYP,No,No,0,,,Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),"{'Monthly': 19.7, 'Total': '1396.9'}"
0047-ZHDTW,,Fiber optic,0,,,Female,0,No,No,11,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 79.0, 'Total': '929.3'}"
0048-LUMLS,No,Fiber optic,0,,,Male,0,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Credit card (automatic),"{'Monthly': 91.2, 'Total': '3247.55'}"
0048-PIHNL,No,No,0,,,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),"{'Monthly': 20.45, 'Total': '900.9'}"
0052-DCKON,No,Fiber optic,0,,,Male,0,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),"{'Monthly': 115.8, 'Total': '7942.15'}"
0052-YNYOT,No,No,0,,,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,"{'Monthly': 20.55, 'Total': '1343.4'}"
0056-EPFBG,No,DSL,0,,,Male,0,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),"{'Monthly': 39.4, 'Total': '825.4'}"
0057-QBUQH,No,No,0,,,Female,0,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,"{'Monthly': 25.1, 'Total': '1070.15'}"
0058-EVZWM,No,Fiber optic,0,,,Female,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 89.8, 'Total': '4959.6'}"
0060-FUALY,No,Fiber optic,0,,,Female,0,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,"{'Monthly': 94.75, 'Total': '5597.65'}"
0064-SUDOG,No,No,0,,,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),"{'Monthly': 20.3, 'Total': '224.5'}"
0064-YIJGF,No,Fiber optic,0,,,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 75.75, 'Total': '1929'}"
0067-DKWBL,Yes,DSL,1,,,Male,1,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,"{'Monthly': 49.25, 'Total': '91.1'}"
0068-FIGTF,No,DSL,0,,,Female,0,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Mailed check,"{'Monthly': 78.2, 'Total': '2078.95'}"
0071-NDAFP,No,No,0,,,Male,0,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),"{'Monthly': 25.5, 'Total': '630.6'}"
0074-HDKDG,No,DSL,0,,,Male,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),"{'Monthly': 61.6, 'Total': '1611'}"
0076-LVEPS,No,DSL,0,,,Male,0,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,"{'Monthly': 45.0, 'Total': '1242.45'}"
0078-XZMHT,No,DSL,0,,,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),"{'Monthly': 85.15, 'Total': '6316.2'}"
0080-EMYVY,No,DSL,0,,,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Credit card (automatic),"{'Monthly': 51.45, 'Total': '727.85'}"
0080-OROZO,No,Fiber optic,0,,,Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,"{'Monthly': 99.25, 'Total': '3532'}"
0082-LDZUE,No,DSL,0,,,Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,"{'Monthly': 44.3, 'Total': '44.3'}"
0082-OQIQY,No,Fiber optic,0,,,Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 94.2, 'Total': '2607.6'}"
0083-PIVIK,No,DSL,0,,,Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,"{'Monthly': 81.25, 'Total': '5567.55'}"
0089-IIQKO,No,Fiber optic,0,,,Female,0,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),"{'Monthly': 99.95, 'Total': '3767.4'}"
0093-EXYQL,No,Fiber optic,1,,,Female,1,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 91.55, 'Total': '3673.6'}"
0093-XWZFY,Yes,Fiber optic,0,,,Male,0,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),"{'Monthly': 104.5, 'Total': '4036.85'}"
0094-OIFMO,Yes,Fiber optic,1,,,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 95.0, 'Total': '1120.3'}"
0096-BXERS,No,DSL,0,,,Female,0,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,"{'Monthly': 50.35, 'Total': '314.55'}"
0096-FCPUF,No,DSL,0,,,Male,0,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,"{'Monthly': 64.5, 'Total': '1888.45'}"
0098-BOWSO,No,No,0,,,Male,0,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,"{'Monthly': 19.4, 'Total': '529.8'}"
0100-DUVFC,No,Fiber optic,1,,,Male,1,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,"{'Monthly': 104.8, 'Total': '7308.95'}"
0103-CSITQ,No,Fiber optic,0,,,Female,0,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),"{'Monthly': 109.4, 'Total': '6252.7'}"
0104-PPXDV,No,DSL,0,,,Male,0,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card (automatic),"{'Monthly': 50.3, 'Total': '2878.55'}"
0106-GHRQR,No,DSL,0,,,Male,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 71.4, 'Total': '1212.1'}"
0106-UGRDO,No,Fiber optic,0,,,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,"{'Monthly': 116.0, 'Total': '8182.85'}"
0107-WESLM,Yes,No,0,,,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,"{'Monthly': 19.85, 'Total': '19.85'}"
0107-YHINA,Yes,Fiber optic,0,,,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 99.75, 'Total': '99.75'}"
0111-KLBQG,No,Fiber optic,1,,,Male,1,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,"{'Monthly': 93.95, 'Total': '2861.45'}"
0112-QAWRZ,No,Fiber optic,0,,,Male,0,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 90.8, 'Total': '1442.2'}"
0112-QWPNC,Yes,DSL,0,,,Male,0,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,"{'Monthly': 84.35, 'Total': '4059.35'}"
0114-IGABW,No,DSL,0,,,Female,0,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),"{'Monthly': 58.25, 'Total': '4145.9'}"
0114-PEGZZ,No,Fiber optic,0,,,Female,0,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,"{'Monthly': 107.55, 'Total': '3645.5'}"
0114-RSRRW,No,No,0,,,Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 19.95, 'Total': '187.75'}"
0115-TFERT,Yes,Fiber optic,0,,,Male,0,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 111.2, 'Total': '2317.1'}"
0117-LFRMW,Yes,DSL,0,,,Male,0,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),"{'Monthly': 40.2, 'Total': '1448.8'}"
0118-JPNOY,No,Fiber optic,1,,,Female,1,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),"{'Monthly': 85.8, 'Total': '2193.65'}"
0120-YZLQA,,No,0,,,Male,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),"{'Monthly': 19.9, 'Total': '1355.1'}"
0121-SNYRK,No,DSL,0,,,Male,0,No,No,50,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,"{'Monthly': 35.4, 'Total': '1748.9'}"
0122-OAHPZ,Yes,Fiber optic,0,,,Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,"{'Monthly': 73.85, 'Total': '511.25'}"
0123-CRBRT,No,DSL,0,,,Female,0,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,"{'Monthly': 88.1, 'Total': '5526.75'}"
0125-LZQXK,Yes,Fiber optic,0,,,Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 101.35, 'Total': '1553.95'}"
0128-MKWSG,No,DSL,0,,,Female,0,No,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,"{'Monthly': 45.8, 'Total': '1147'}"
0129-KPTWJ,No,Fiber optic,0,,,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 94.65, 'Total': '6747.35'}"
0129-QMPDR,No,No,0,,,Male,0,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),"{'Monthly': 20.5, 'Total': '865.05'}"
0130-SXOUN,No,Fiber optic,0,,,Male,0,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),"{'Monthly': 89.4, 'Total': '5976.9'}"
0133-BMFZO,Yes,Fiber optic,0,,,Female,0,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,"{'Monthly': 86.25, 'Total': '181.65'}"
0134-XWXCE,No,DSL,1,,,Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),"{'Monthly': 74.85, 'Total': '3268.05'}"
0135-NMXAP,Yes,Fiber optic,0,,,Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 89.75, 'Total': '1052.4'}"
0136-IFMYD,No,Fiber optic,1,,,Male,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,"{'Monthly': 109.95, 'Total': '7634.25'}"
0137-OCGAB,Yes,Fiber optic,0,,,Female,0,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,"{'Monthly': 80.2, 'Total': '80.2'}"
0137-UDEUO,Yes,No,0,,,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,"{'Monthly': 19.85, 'Total': '63.75'}"
0139-IVFJG,No,Fiber optic,0,,,Female,0,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,"{'Monthly': 90.35, 'Total': '190.5'}"
0141-YEAYS,No,Fiber optic,1,,,Female,1,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 86.45, 'Total': '2401.05'}"
0142-GVYSN,No,No,0,,,Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,"{'Monthly': 20.3, 'Total': '511.25'}"
0147-ESWWR,No,Fiber optic,1,,,Female,1,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 101.25, 'Total': '3949.15'}"
0148-DCDOS,Yes,Fiber optic,0,,,Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 94.7, 'Total': '2362.1'}"
0151-ONTOV,Yes,Fiber optic,0,,,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,"{'Monthly': 70.9, 'Total': '70.9'}"
0154-QYHJU,,DSL,0,,,Male,0,No,No,29,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,"{'Monthly': 58.75, 'Total': '1696.2'}"
0156-FVPTA,Yes,DSL,0,,,Male,0,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,"{'Monthly': 54.2, 'Total': '1152.7'}"
0162-RZGMZ,,DSL,1,,,Female,1,No,No,5,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),"{'Monthly': 59.9, 'Total': '287.85'}"
0164-APGRB,No,Fiber optic,0,,,Female,0,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,"{'Monthly': 114.9, 'Total': '8496.7'}"
0164-XAIRP,No,No,0,,,Female,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),"{'Monthly': 19.55, 'Total': '470.2'}"
0168-XZKBB,No,Fiber optic,0,,,Female,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,"{'Monthly': 86.85, 'Total': '1564.4'}"
0174-QRVVY,No,No,0,,,Male,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),"{'Monthly': 25.35, 'Total': '1847.55'}"
0177-PXBAT,No,Fiber optic,1,,,Male,1,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),"{'Monthly': 109.9, 'Total': '3694.7'}"
0178-CIIKR,No,No,0,,,Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,"{'Monthly': 19.95, 'Total': '58'}"
0178-SZBHO,No,Fiber optic,0,,,Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,"{'Monthly': 87.2, 'Total': '4017.45'}"
0181-RITDD,No,Fiber optic,0,,,Male,0,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,"{'Monthly': 108.15, 'Total': '6825.65'}"
0186-CAERR,No,Fiber optic,0,,,Male,0,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),"{'Monthly': 116.3, 'Total': '8309.55'}"
0187-QSXOE,No,Fiber optic,1,,,Male,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 89.0, 'Total': '605.45'}"
0187-WZNAB,No,Fiber optic,0,,,Female,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,"{'Monthly': 74.4, 'Total': '1972.35'}"
0188-GWFLE,No,No,0,,,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,"{'Monthly': 20.05, 'Total': '33.7'}"
0191-EQUUH,No,DSL,0,,,Female,0,No,Yes,25,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),"{'Monthly': 35.05, 'Total': '844.45'}"
0191-ZHSKZ,No,DSL,1,,,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 74.75, 'Total': '2111.3'}"
0193-ESZXP,Yes,Fiber optic,1,,,Female,1,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),"{'Monthly': 105.5, 'Total': '6205.5'}"
0195-IESCP,Yes,Fiber optic,0,,,Male,0,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 85.25, 'Total': '855.3'}"
0196-JTUQI,No,Fiber optic,0,,,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),"{'Monthly': 75.2, 'Total': '633.85'}"
0196-VULGZ,Yes,Fiber optic,1,,,Female,1,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,"{'Monthly': 84.35, 'Total': '474.9'}"
0197-PNKNK,No,Fiber optic,0,,,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),"{'Monthly': 84.45, 'Total': '5848.6'}"
0201-MIBOL,No,Fiber optic,1,,,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),"{'Monthly': 102.4, 'Total': '6471.85'}"
0201-OAMXR,Yes,Fiber optic,0,,,Female,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),"{'Monthly': 115.55, 'Total': '8127.6'}"
0203-HHYIJ,Yes,No,0,,,Male,0,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),"{'Monthly': 25.3, 'Total': '676.35'}"
0206-OYVOC,No,No,0,,,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,"{'Monthly': 19.25, 'Total': '864.2'}"
0206-TBWLC,No,Fiber optic,0,,,Female,0,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,"{'Monthly': 114.65, 'Total': '6049.5'}"
0207-MDKNV,Yes,Fiber optic,0,,,Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,"{'Monthly': 105.1, 'Total': '1582.75'}"
0208-BPQEJ,No,No,0,,,Female,0,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),"{'Monthly': 19.4, 'Total': '198.1'}"
